Tempo (s)	Corrente (A)	Tensão (V)
0.112	5.36E-04	-0.01
0.113	5.36E-04	-0.01
0.114	5.36E-04	-0.01
0.115	5.36E-04	-0.01
0.116	5.36E-04	-0.01
0.117	5.36E-04	-0.01
0.118	5.36E-04	-0.01
0.119	5.36E-04	-0.01
0.12	5.36E-04	0
0.121	5.36E-04	-0.01
0.122	5.36E-04	0
0.123	5.36E-04	-0.01
0.124	5.36E-04	-0.01
0.125	5.36E-04	0
0.126	5.36E-04	0
0.127	5.36E-04	0
0.128	5.36E-04	0
0.129	5.36E-04	-0.01
0.13	5.36E-04	0
0.131	5.36E-04	0
0.132	5.36E-04	0
0.133	5.36E-04	0
0.134	5.36E-04	0
0.135	5.36E-04	0
0.136	5.36E-04	0
0.137	5.36E-04	0
0.138	5.36E-04	0
0.139	5.36E-04	0
0.14	5.36E-04	0
0.141	5.36E-04	-0.01
0.142	5.36E-04	0
0.143	5.36E-04	0
0.144	5.36E-04	0
0.145	5.36E-04	0
0.146	5.36E-04	0
0.147	5.36E-04	0
0.148	5.36E-04	0
0.149	5.36E-04	0
0.15	5.36E-04	0
0.151	5.36E-04	0
0.152	5.36E-04	0
0.153	5.36E-04	0
0.154	5.36E-04	0
0.155	5.36E-04	0
0.156	5.36E-04	0
0.157	5.36E-04	0
0.158	5.36E-04	0
0.159	5.36E-04	0
0.16	5.36E-04	0
0.161	5.36E-04	0
0.162	5.36E-04	0
0.163	5.36E-04	0
0.164	5.36E-04	0
0.165	5.36E-04	0
0.166	5.36E-04	0
0.167	5.36E-04	0
0.168	5.36E-04	0
0.169	5.36E-04	0
0.17	5.36E-04	0
0.171	5.36E-04	0
0.172	5.36E-04	0
0.173	5.36E-04	0
0.174	5.36E-04	0
0.175	5.36E-04	0
0.176	5.36E-04	0
0.177	5.36E-04	0
0.178	5.36E-04	0
0.179	5.36E-04	0
0.18	5.36E-04	0
0.181	5.36E-04	0
0.182	5.36E-04	0
0.183	5.36E-04	0
0.184	5.36E-04	0
0.185	5.36E-04	0
0.186	5.36E-04	0
0.187	5.36E-04	0
0.188	5.36E-04	0
0.189	5.36E-04	0.01
0.19	5.36E-04	0.01
0.191	5.36E-04	0.01
0.192	5.36E-04	0.01
0.193	5.36E-04	0.01
0.194	5.36E-04	0.01
0.195	5.36E-04	0.01
0.196	5.36E-04	0.01
