Tempo (s)	Corrente (A)	Tensão (V)
0.112	5.36E-04	0.05
0.113	5.36E-04	0.05
0.114	5.36E-04	0.05
0.115	5.36E-04	0.05
0.116	5.36E-04	0.06
0.117	5.36E-04	0.06
0.118	5.36E-04	0.06
0.119	5.36E-04	0.07
0.12	5.36E-04	0.07
0.121	5.36E-04	0.07
0.122	5.36E-04	0.08
0.123	5.36E-04	0.08
0.124	5.36E-04	0.09
0.125	5.36E-04	0.09
0.126	5.36E-04	0.1
0.127	5.36E-04	0.11
0.128	5.36E-04	0.11
0.129	5.36E-04	0.12
0.13	5.36E-04	0.13
0.131	5.36E-04	0.14
0.132	5.36E-04	0.15
0.133	5.36E-04	0.16
0.134	5.36E-04	0.17
0.135	5.36E-04	0.18
0.136	5.36E-04	0.2
0.137	5.36E-04	0.21
0.138	5.36E-04	0.23
0.139	5.36E-04	0.25
0.14	5.36E-04	0.27
0.141	5.36E-04	0.29
0.142	5.36E-04	0.32
0.143	5.36E-04	0.35
0.144	5.36E-04	0.38
0.145	5.36E-04	0.42
0.146	5.36E-04	0.45
0.147	5.36E-04	0.5
0.148	5.36E-04	0.55
0.149	5.36E-04	0.6
0.15	5.36E-04	0.66
0.151	5.36E-04	0.74
0.152	5.36E-04	0.82
0.153	5.36E-04	0.91
0.154	5.36E-04	1.02
0.155	5.36E-04	1.14
0.156	5.36E-04	1.29
0.157	5.36E-04	1.44
0.158	5.36E-04	1.6
0.159	0	1.76
0.16	0	1.83
0.161	0.01	1.88
0.162	0.01	1.92
0.163	0.02	1.95
0.164	0.02	1.98
0.165	0.03	2.01
0.166	0.04	2.04
0.167	0.05	2.06
0.168	0.06	2.09
0.169	0.07	2.11
0.17	0.08	2.14
0.171	0.09	2.16
0.172	0.1	2.18
0.173	0.11	2.19
0.174	0.11	2.2
0.175	0.11	2.2
0.176	0.11	2.2
0.177	0.11	2.19
0.178	0.11	2.18
0.179	0.1	2.17
0.18	0.09	2.15
0.181	0.08	2.12
0.182	0.07	2.09
0.183	0.05	2.06
0.184	0.04	2.03
0.185	0.03	1.99
0.186	0.01	1.93
0.187	0	1.71
0.188	5.36E-04	0.73
0.189	5.36E-04	0.07
0.19	5.36E-04	-0.58
0.191	5.36E-04	-1.22
0.192	5.36E-04	-1.81
0.193	5.36E-04	-2.48
0.194	5.36E-04	-3.16
0.195	5.36E-04	-3.84
0.196	5.36E-04	-4.57
0.197	5.36E-04	-5.31
0.198	5.36E-04	-6.01
0.199	5.36E-04	-6.65
0.2	5.36E-04	-7.22
0.201	5.36E-04	-7.66
0.202	5.36E-04	-7.97
0.203	5.36E-04	-8.14
0.204	5.36E-04	-8.15
0.205	5.36E-04	-8.02
0.206	5.36E-04	-7.75
0.207	5.36E-04	-7.34
0.208	5.36E-04	-6.83
0.209	5.36E-04	-6.25
0.21	5.36E-04	-5.62
0.211	5.36E-04	-5.01
0.212	5.36E-04	-4.41
0.213	5.36E-04	-3.87
0.214	5.36E-04	-3.38
0.215	5.36E-04	-2.95
0.216	5.36E-04	-2.57
0.217	5.36E-04	-2.24
0.218	5.36E-04	-1.95
0.219	5.36E-04	-1.71
0.22	5.36E-04	-1.5
0.221	5.36E-04	-1.31
0.222	5.36E-04	-1.16
0.223	5.36E-04	-1.02
0.224	5.36E-04	-0.89
0.225	5.36E-04	-0.75
0.226	5.36E-04	-0.6
0.227	5.36E-04	-0.44
0.228	5.36E-04	-0.26
0.229	5.36E-04	-0.09
0.23	5.36E-04	-0.01
0.231	5.36E-04	0.02
0.232	5.36E-04	0.03
0.233	5.36E-04	0.02
0.234	5.36E-04	0.01
0.235	5.36E-04	-0.01
0.236	5.36E-04	-0.03
0.237	5.36E-04	-0.04
0.238	5.36E-04	-0.06
0.239	5.36E-04	-0.08
0.24	5.36E-04	-0.1
0.241	5.36E-04	-0.12
0.242	5.36E-04	-0.15
0.243	5.36E-04	-0.17
0.244	5.36E-04	-0.19
0.245	5.36E-04	-0.21
0.246	5.36E-04	-0.23
0.247	5.36E-04	-0.26
0.248	5.36E-04	-0.28
0.249	5.36E-04	-0.31
0.25	5.36E-04	-0.32
0.251	5.36E-04	-0.34
0.252	5.36E-04	-0.36
0.253	5.36E-04	-0.38
0.254	5.36E-04	-0.39
0.255	5.36E-04	-0.4
0.256	5.36E-04	-0.42
0.257	5.36E-04	-0.43
0.258	5.36E-04	-0.44
0.259	5.36E-04	-0.45
0.26	5.36E-04	-0.45
0.261	5.36E-04	-0.46
0.262	5.36E-04	-0.46
0.263	5.36E-04	-0.47
0.264	5.36E-04	-0.47
0.265	5.36E-04	-0.47
0.266	5.36E-04	-0.47
0.267	5.36E-04	-0.46
0.268	5.36E-04	-0.46
0.269	5.36E-04	-0.45
0.27	5.36E-04	-0.45
0.271	5.36E-04	-0.44
0.272	5.36E-04	-0.43
0.273	5.36E-04	-0.41
0.274	5.36E-04	-0.4
0.275	5.36E-04	-0.38
0.276	5.36E-04	-0.37
0.277	5.36E-04	-0.35
0.278	5.36E-04	-0.33
0.279	5.36E-04	-0.31
0.28	5.36E-04	-0.29
0.281	5.36E-04	-0.27
0.282	5.36E-04	-0.25
0.283	5.36E-04	-0.23
0.284	5.36E-04	-0.22
0.285	5.36E-04	-0.21
0.286	5.36E-04	-0.19
0.287	5.36E-04	-0.18
0.288	5.36E-04	-0.17
0.289	5.36E-04	-0.16
0.29	5.36E-04	-0.15
0.291	5.36E-04	-0.14
0.292	5.36E-04	-0.13
0.293	5.36E-04	-0.12
0.294	5.36E-04	-0.1
0.295	5.36E-04	-0.09
0.296	5.36E-04	-0.08
0.297	5.36E-04	-0.07
0.298	5.36E-04	-0.06
0.299	5.36E-04	-0.05
0.3	5.36E-04	-0.04
0.301	5.36E-04	-0.02
0.302	5.36E-04	-0.01
0.303	0	0
0.304	5.36E-04	0.01
0.305	5.36E-04	0.02
0.306	5.36E-04	0.03
0.307	5.36E-04	0.04
0.308	5.36E-04	0.05
0.309	5.36E-04	0.06
0.31	5.36E-04	0.06
0.311	5.36E-04	0.07
0.312	5.36E-04	0.08
0.313	5.36E-04	0.09
0.314	5.36E-04	0.1
0.315	5.36E-04	0.1
0.316	5.36E-04	0.11
0.317	5.36E-04	0.12
0.318	5.36E-04	0.12
0.319	5.36E-04	0.13
0.32	5.36E-04	0.14
0.321	5.36E-04	0.14
0.322	5.36E-04	0.15
0.323	5.36E-04	0.16
0.324	5.36E-04	0.16
0.325	5.36E-04	0.17
0.326	5.36E-04	0.17
0.327	5.36E-04	0.17
0.328	5.36E-04	0.18
0.329	5.36E-04	0.18
0.33	5.36E-04	0.18
0.331	5.36E-04	0.18
0.332	5.36E-04	0.18
0.333	5.36E-04	0.18
0.334	5.36E-04	0.18
0.335	5.36E-04	0.18
0.336	5.36E-04	0.18
0.337	5.36E-04	0.18
0.338	5.36E-04	0.17
0.339	5.36E-04	0.17
0.34	5.36E-04	0.17
0.341	5.36E-04	0.16
0.342	5.36E-04	0.16
0.343	5.36E-04	0.15
0.344	5.36E-04	0.15
0.345	5.36E-04	0.15
0.346	5.36E-04	0.15
0.347	5.36E-04	0.15
0.348	5.36E-04	0.15
0.349	5.36E-04	0.14
0.35	5.36E-04	0.15
0.351	5.36E-04	0.15
0.352	5.36E-04	0.15
0.353	5.36E-04	0.15
0.354	5.36E-04	0.15
0.355	5.36E-04	0.15
0.356	5.36E-04	0.16
0.357	5.36E-04	0.16
0.358	5.36E-04	0.16
0.359	5.36E-04	0.17
0.36	5.36E-04	0.17
0.361	5.36E-04	0.17
0.362	5.36E-04	0.17
0.363	5.36E-04	0.17
0.364	5.36E-04	0.17
0.365	5.36E-04	0.18
0.366	5.36E-04	0.18
0.367	5.36E-04	0.18
0.368	5.36E-04	0.18
0.369	5.36E-04	0.18
0.37	5.36E-04	0.18
0.371	5.36E-04	0.18
0.372	5.36E-04	0.18
0.373	5.36E-04	0.18
0.374	5.36E-04	0.18
0.375	5.36E-04	0.18
0.376	5.36E-04	0.17
0.377	5.36E-04	0.17
0.378	5.36E-04	0.17
0.379	5.36E-04	0.17
0.38	5.36E-04	0.16
0.381	5.36E-04	0.16
0.382	5.36E-04	0.16
0.383	5.36E-04	0.15
0.384	5.36E-04	0.15
0.385	5.36E-04	0.15
0.386	5.36E-04	0.14
0.387	5.36E-04	0.14
0.388	5.36E-04	0.14
0.389	5.36E-04	0.13
0.39	5.36E-04	0.13
0.391	5.36E-04	0.12
0.392	5.36E-04	0.12
0.393	5.36E-04	0.11
0.394	5.36E-04	0.11
0.395	5.36E-04	0.1
0.396	5.36E-04	0.1
0.397	5.36E-04	0.09
0.398	5.36E-04	0.09
0.399	5.36E-04	0.08
0.4	5.36E-04	0.08
0.401	5.36E-04	0.07
0.402	5.36E-04	0.07
0.403	5.36E-04	0.06
0.404	5.36E-04	0.06
0.405	5.36E-04	0.05
0.406	5.36E-04	0.05
0.407	5.36E-04	0.04
0.408	5.36E-04	0.04
0.409	5.36E-04	0.03
0.41	5.36E-04	0.03
0.411	5.36E-04	0.02
0.412	5.36E-04	0.02
0.413	5.36E-04	0.01
0.414	5.36E-04	0.01
0.415	5.36E-04	0.01
0.416	5.36E-04	0
0.417	5.36E-04	0
0.418	5.36E-04	-0.01
0.419	5.36E-04	-0.01
0.42	5.36E-04	-0.01
0.421	5.36E-04	-0.01
0.422	5.36E-04	-0.02
0.423	5.36E-04	-0.02
0.424	5.36E-04	-0.02
0.425	5.36E-04	-0.02
0.426	5.36E-04	-0.03
0.427	5.36E-04	-0.03
0.428	5.36E-04	-0.03
0.429	5.36E-04	-0.04
0.43	5.36E-04	-0.04
0.431	5.36E-04	-0.05
0.432	5.36E-04	-0.05
0.433	5.36E-04	-0.05
0.434	5.36E-04	-0.06
0.435	5.36E-04	-0.06
0.436	5.36E-04	-0.06
0.437	5.36E-04	-0.07
0.438	5.36E-04	-0.07
0.439	5.36E-04	-0.08
0.44	5.36E-04	-0.08
0.441	5.36E-04	-0.08
0.442	5.36E-04	-0.08
0.443	5.36E-04	-0.09
0.444	5.36E-04	-0.09
0.445	5.36E-04	-0.09
0.446	5.36E-04	-0.09
0.447	5.36E-04	-0.09
0.448	5.36E-04	-0.09
0.449	5.36E-04	-0.09
0.45	5.36E-04	-0.09
0.451	5.36E-04	-0.09
0.452	5.36E-04	-0.09
0.453	5.36E-04	-0.09
0.454	5.36E-04	-0.09
0.455	5.36E-04	-0.09
0.456	5.36E-04	-0.09
0.457	5.36E-04	-0.09
0.458	5.36E-04	-0.09
0.459	5.36E-04	-0.09
0.46	5.36E-04	-0.08
0.461	5.36E-04	-0.08
0.462	5.36E-04	-0.08
0.463	5.36E-04	-0.08
0.464	5.36E-04	-0.08
0.465	5.36E-04	-0.08
0.466	5.36E-04	-0.08
0.467	5.36E-04	-0.08
0.468	5.36E-04	-0.08
0.469	5.36E-04	-0.07
0.47	5.36E-04	-0.08
0.471	5.36E-04	-0.07
0.472	5.36E-04	-0.07
0.473	5.36E-04	-0.07
0.474	5.36E-04	-0.07
0.475	5.36E-04	-0.07
0.476	5.36E-04	-0.07
0.477	5.36E-04	-0.07
0.478	5.36E-04	-0.07
0.479	5.36E-04	-0.07
0.48	5.36E-04	-0.07
0.481	5.36E-04	-0.07
0.482	5.36E-04	-0.07
0.483	5.36E-04	-0.07
0.484	5.36E-04	-0.07
0.485	5.36E-04	-0.07
0.486	5.36E-04	-0.07
0.487	5.36E-04	-0.07
0.488	5.36E-04	-0.07
0.489	5.36E-04	-0.07
0.49	5.36E-04	-0.07
0.491	5.36E-04	-0.07
0.492	5.36E-04	-0.07
0.493	5.36E-04	-0.06
0.494	5.36E-04	-0.06
0.495	5.36E-04	-0.06
0.496	5.36E-04	-0.06
0.497	5.36E-04	-0.06
0.498	5.36E-04	-0.06
0.499	5.36E-04	-0.06
0.5	5.36E-04	-0.06
0.501	5.36E-04	-0.06
0.502	5.36E-04	-0.05
0.503	5.36E-04	-0.05
