Tempo (s)	Corrente (A)	Tensão (V)
0.3	5.36E-04	-0.06
0.301	5.36E-04	-0.06
0.302	5.36E-04	-0.07
0.303	5.36E-04	-0.07
0.304	5.36E-04	-0.07
0.305	5.36E-04	-0.08
0.306	5.36E-04	-0.08
0.307	5.36E-04	-0.09
0.308	5.36E-04	-0.09
0.309	5.36E-04	-0.09
0.31	5.36E-04	-0.1
0.311	5.36E-04	-0.1
0.312	5.36E-04	-0.11
0.313	5.36E-04	-0.12
0.314	5.36E-04	-0.13
0.315	5.36E-04	-0.13
0.316	5.36E-04	-0.14
0.317	5.36E-04	-0.15
0.318	5.36E-04	-0.16
0.319	5.36E-04	-0.17
0.32	5.36E-04	-0.18
0.321	5.36E-04	-0.2
0.322	5.36E-04	-0.21
0.323	5.36E-04	-0.22
0.324	5.36E-04	-0.24
0.325	5.36E-04	-0.26
0.326	5.36E-04	-0.28
0.327	5.36E-04	-0.3
0.328	5.36E-04	-0.33
0.329	5.36E-04	-0.35
0.33	5.36E-04	-0.38
0.331	5.36E-04	-0.42
0.332	5.36E-04	-0.45
0.333	5.36E-04	-0.5
0.334	5.36E-04	-0.54
0.335	5.36E-04	-0.59
0.336	5.36E-04	-0.65
0.337	5.36E-04	-0.7
0.338	5.36E-04	-0.77
0.339	5.36E-04	-0.85
0.34	5.36E-04	-0.93
0.341	5.36E-04	-1.04
0.342	5.36E-04	-1.15
0.343	5.36E-04	-1.29
0.344	5.36E-04	-1.44
0.345	5.36E-04	-1.61
0.346	5.36E-04	-1.8
0.347	5.36E-04	-2
0.348	5.36E-04	-2.24
0.349	5.36E-04	-2.52
0.35	5.36E-04	-2.82
0.351	5.36E-04	-3.17
0.352	5.36E-04	-3.56
0.353	5.36E-04	-4
0.354	5.36E-04	-4.48
0.355	5.36E-04	-4.99
0.356	5.36E-04	-5.51
0.357	5.36E-04	-6.01
0.358	5.36E-04	-6.47
0.359	5.36E-04	-6.86
0.36	5.36E-04	-7.19
0.361	5.36E-04	-7.43
0.362	5.36E-04	-7.55
0.363	5.36E-04	-7.55
0.364	5.36E-04	-7.44
0.365	5.36E-04	-7.21
0.366	5.36E-04	-6.83
0.367	5.36E-04	-6.33
0.368	5.36E-04	-5.73
0.369	5.36E-04	-5.06
0.37	5.36E-04	-4.35
0.371	5.36E-04	-3.62
0.372	5.36E-04	-2.88
0.373	5.36E-04	-2.15
0.374	5.36E-04	-1.43
0.375	5.36E-04	-0.72
0.376	5.36E-04	-0.03
0.377	5.36E-04	0.67
0.378	5.36E-04	1.37
0.379	0	1.82
0.38	0.01	1.92
0.381	0.02	1.98
0.382	0.04	2.03
0.383	0.05	2.08
0.384	0.07	2.11
0.385	0.08	2.15
0.386	0.1	2.17
0.387	0.11	2.2
0.388	0.12	2.21
0.389	0.12	2.22
0.39	0.12	2.22
0.391	0.12	2.22
0.392	0.12	2.21
0.393	0.12	2.2
0.394	0.11	2.18
0.395	0.1	2.16
0.396	0.09	2.13
0.397	0.07	2.11
0.398	0.06	2.08
0.399	0.05	2.06
0.4	0.04	2.03
0.401	0.03	2
0.402	0.02	1.97
0.403	0.01	1.94
0.404	0.01	1.9
0.405	0	1.85
0.406	5.36E-04	1.61
0.407	5.36E-04	1.41
0.408	5.36E-04	1.25
0.409	5.36E-04	1.1
0.41	5.36E-04	0.98
0.411	5.36E-04	0.86
0.412	5.36E-04	0.75
0.413	5.36E-04	0.63
0.414	5.36E-04	0.5
0.415	5.36E-04	0.35
0.416	5.36E-04	0.19
0.417	5.36E-04	0.08
0.418	5.36E-04	0.04
0.419	5.36E-04	0.05
0.42	5.36E-04	0.08
0.421	5.36E-04	0.11
0.422	5.36E-04	0.14
0.423	5.36E-04	0.17
0.424	5.36E-04	0.2
0.425	5.36E-04	0.24
0.426	5.36E-04	0.28
0.427	5.36E-04	0.31
0.428	5.36E-04	0.34
0.429	5.36E-04	0.37
0.43	5.36E-04	0.39
0.431	5.36E-04	0.42
0.432	5.36E-04	0.44
0.433	5.36E-04	0.46
0.434	5.36E-04	0.48
0.435	5.36E-04	0.5
0.436	5.36E-04	0.51
0.437	5.36E-04	0.52
0.438	5.36E-04	0.52
0.439	5.36E-04	0.52
0.44	5.36E-04	0.52
0.441	5.36E-04	0.51
0.442	5.36E-04	0.51
0.443	5.36E-04	0.5
0.444	5.36E-04	0.48
0.445	5.36E-04	0.46
0.446	5.36E-04	0.44
0.447	5.36E-04	0.42
0.448	5.36E-04	0.39
0.449	5.36E-04	0.36
0.45	5.36E-04	0.33
0.451	5.36E-04	0.3
0.452	5.36E-04	0.26
0.453	5.36E-04	0.22
0.454	5.36E-04	0.17
0.455	5.36E-04	0.14
0.456	5.36E-04	0.09
0.457	5.36E-04	0.05
0.458	5.36E-04	0.02
0.459	5.36E-04	-0.03
0.46	5.36E-04	-0.07
0.461	5.36E-04	-0.1
0.462	5.36E-04	-0.14
0.463	5.36E-04	-0.17
0.464	5.36E-04	-0.2
0.465	5.36E-04	-0.23
0.466	5.36E-04	-0.25
0.467	5.36E-04	-0.27
0.468	5.36E-04	-0.29
0.469	5.36E-04	-0.31
0.47	5.36E-04	-0.32
0.471	5.36E-04	-0.33
0.472	5.36E-04	-0.33
0.473	5.36E-04	-0.32
0.474	5.36E-04	-0.32
0.475	5.36E-04	-0.31
0.476	5.36E-04	-0.31
0.477	5.36E-04	-0.31
0.478	5.36E-04	-0.31
0.479	5.36E-04	-0.31
0.48	5.36E-04	-0.3
0.481	5.36E-04	-0.28
0.482	5.36E-04	-0.26
0.483	5.36E-04	-0.24
0.484	5.36E-04	-0.22
0.485	5.36E-04	-0.21
0.486	5.36E-04	-0.21
0.487	5.36E-04	-0.2
0.488	5.36E-04	-0.2
0.489	5.36E-04	-0.19
0.49	5.36E-04	-0.18
0.491	5.36E-04	-0.18
0.492	5.36E-04	-0.17
0.493	5.36E-04	-0.16
0.494	5.36E-04	-0.15
0.495	5.36E-04	-0.14
0.496	5.36E-04	-0.13
0.497	5.36E-04	-0.12
0.498	5.36E-04	-0.11
0.499	5.36E-04	-0.11
0.5	5.36E-04	-0.1
0.501	5.36E-04	-0.09
0.502	5.36E-04	-0.08
0.503	5.36E-04	-0.08
0.504	5.36E-04	-0.07
0.505	5.36E-04	-0.07
0.506	5.36E-04	-0.06
0.507	5.36E-04	-0.05
0.508	5.36E-04	-0.05
0.509	5.36E-04	-0.05
0.51	5.36E-04	-0.04
0.511	5.36E-04	-0.04
0.512	5.36E-04	-0.03
0.513	5.36E-04	-0.03
0.514	5.36E-04	-0.02
0.515	5.36E-04	-0.02
0.516	5.36E-04	-0.01
0.517	5.36E-04	-0.01
0.518	5.36E-04	0
0.519	5.36E-04	0
0.52	5.36E-04	0.01
0.521	5.36E-04	0.01
0.522	5.36E-04	0.02
0.523	5.36E-04	0.02
0.524	5.36E-04	0.03
0.525	5.36E-04	0.03
0.526	5.36E-04	0.04
0.527	5.36E-04	0.04
0.528	5.36E-04	0.04
0.529	5.36E-04	0.05
0.53	5.36E-04	0.05
0.531	5.36E-04	0.06
0.532	5.36E-04	0.06
0.533	5.36E-04	0.07
0.534	5.36E-04	0.07
0.535	5.36E-04	0.07
0.536	5.36E-04	0.08
0.537	5.36E-04	0.08
0.538	5.36E-04	0.08
0.539	5.36E-04	0.09
0.54	5.36E-04	0.09
0.541	5.36E-04	0.1
0.542	5.36E-04	0.1
0.543	5.36E-04	0.1
0.544	5.36E-04	0.1
0.545	5.36E-04	0.1
0.546	5.36E-04	0.11
0.547	5.36E-04	0.11
0.548	5.36E-04	0.11
0.549	5.36E-04	0.11
0.55	5.36E-04	0.11
0.551	5.36E-04	0.11
0.552	5.36E-04	0.11
0.553	5.36E-04	0.11
0.554	5.36E-04	0.11
0.555	5.36E-04	0.11
0.556	5.36E-04	0.12
0.557	5.36E-04	0.12
0.558	5.36E-04	0.12
0.559	5.36E-04	0.12
0.56	5.36E-04	0.12
0.561	5.36E-04	0.12
